"Onderwerp";"Nationaliteit";"";"2022 april";"2022 mei";"2022 juni";"2022 juli";"2022 augustus";"2022 september";"2022 oktober";"2022 november";"2022 december";"2023 januari*";"2023 februari*";"2023 maart*";"2023 april*"
"Eerste asielverzoeken (personen)";"Totaal";"aantal";"2220";"2530";"2575";"2745";"3840";"4435";"4075";"4070";"2595";"2490";"2195";"2225";"2355"
"Eerste asielverzoeken (personen)";"Afghaans ";"aantal";"305";"120";"205";"305";"530";"245";"120";"110";"70";"65";"85";"40";"40"
"Eerste asielverzoeken (personen)";"Algerijns ";"aantal";"45";"90";"75";"50";"70";"80";"130";"195";"155";"155";"140";"140";"90"
"Eerste asielverzoeken (personen)";"Chinees ";"aantal";"10";"15";"15";"15";"15";"20";"15";"15";"20";"25";"20";"15";"20"
"Eerste asielverzoeken (personen)";"Egyptisch ";"aantal";"10";"15";"20";"20";"35";"25";"20";"35";"25";"20";"15";"25";"15"
"Eerste asielverzoeken (personen)";"Eritrees ";"aantal";"85";"80";"85";"130";"165";"165";"150";"150";"95";"90";"140";"155";"105"
"Eerste asielverzoeken (personen)";"Ethiopisch ";"aantal";"15";"40";"20";"25";"30";"20";"35";"30";"25";"20";"20";"20";"20"
"Eerste asielverzoeken (personen)";"Gambiaans ";"aantal";"5";"15";"5";"5";"10";"10";"10";"10";"10";"15";"10";"10";"5"
"Eerste asielverzoeken (personen)";"Indiaas ";"aantal";"0";"15";"15";"5";"0";"5";"10";"5";"5";"25";"15";"15";"15"
"Eerste asielverzoeken (personen)";"Iraaks ";"aantal";"60";"25";"30";"45";"55";"65";"85";"60";"115";"65";"65";"55";"195"
"Eerste asielverzoeken (personen)";"Iraans ";"aantal";"25";"35";"35";"35";"65";"105";"95";"125";"90";"140";"100";"115";"105"
"Eerste asielverzoeken (personen)";"Jemenitisch ";"aantal";"185";"170";"195";"185";"210";"285";"285";"265";"125";"155";"150";"190";"220"
"Eerste asielverzoeken (personen)";"Marokkaans ";"aantal";"55";"75";"45";"30";"45";"70";"65";"80";"65";"95";"85";"65";"50"
"Eerste asielverzoeken (personen)";"Nigeriaans ";"aantal";"50";"60";"30";"25";"55";"45";"40";"45";"40";"40";"50";"40";"55"
"Eerste asielverzoeken (personen)";"Oekraïens ";"aantal";"5";"205";"110";"100";"120";"120";"150";"145";"50";"45";"25";"35";"35"
"Eerste asielverzoeken (personen)";"Pakistaans ";"aantal";"50";"50";"30";"30";"70";"105";"65";"50";"55";"65";"45";"50";"40"
"Eerste asielverzoeken (personen)";"Russisch ";"aantal";"70";"55";"45";"20";"20";"40";"90";"85";"50";"30";"30";"30";"30"
"Eerste asielverzoeken (personen)";"Soedanees ";"aantal";"20";"10";"10";"10";"20";"15";"15";"30";"25";"30";"20";"10";"10"
"Eerste asielverzoeken (personen)";"Somalisch ";"aantal";"80";"150";"70";"95";"120";"115";"135";"180";"175";"160";"155";"165";"140"
"Eerste asielverzoeken (personen)";"Syrisch ";"aantal";"570";"760";"915";"1040";"1510";"2045";"1740";"1650";"795";"640";"455";"465";"585"
"Eerste asielverzoeken (personen)";"Tunesisch ";"aantal";"10";"15";"20";"20";"20";"20";"45";"30";"40";"40";"25";"40";"25"
"Eerste asielverzoeken (personen)";"Turks ";"aantal";"205";"195";"295";"250";"295";"385";"300";"220";"175";"165";"155";"160";"150"
"Eerste asielverzoeken (personen)";"Wit-Russisch ";"aantal";"20";"10";"5";"0";"10";"10";"5";"5";"5";"15";"0";"5";"5"
"Eerste asielverzoeken (personen)";"Onbekend";"aantal";"60";"90";"70";"80";"110";"155";"125";"115";"100";"115";"80";"80";"80"
"Eerste asielverzoeken (personen)";"Staatloos";"aantal";"0";"0";"0";"5";"15";"5";"5";"0";"5";"5";"0";"10";"5"
"Nareizigers (personen)";"Totaal";"aantal";"850";"915";"1400";"1615";"1065";"965";"660";"380";"500";"390";"510";"995";"810"
"Nareizigers (personen)";"Afghaans ";"aantal";"5";"15";"5";"10";"20";"10";"20";"15";"20";"20";"10";"20";"20"
"Nareizigers (personen)";"Algerijns ";"aantal";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0"
"Nareizigers (personen)";"Chinees ";"aantal";"0";"0";"5";"10";"5";"15";"0";"0";"5";"10";"0";"5";"5"
"Nareizigers (personen)";"Egyptisch ";"aantal";"5";"5";"0";"10";"5";"5";"0";"5";"0";"0";"5";"15";"0"
"Nareizigers (personen)";"Eritrees ";"aantal";"45";"40";"65";"50";"40";"65";"60";"25";"35";"45";"30";"20";"30"
"Nareizigers (personen)";"Ethiopisch ";"aantal";"0";"10";"0";"0";"0";"0";"5";"5";"5";"0";"0";"0";"0"
"Nareizigers (personen)";"Gambiaans ";"aantal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nareizigers (personen)";"Indiaas ";"aantal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nareizigers (personen)";"Iraaks ";"aantal";"10";"0";"15";"10";"10";"10";"10";"0";"20";"10";"30";"40";"20"
"Nareizigers (personen)";"Iraans ";"aantal";"20";"25";"20";"20";"25";"20";"20";"5";"10";"5";"5";"5";"5"
"Nareizigers (personen)";"Jemenitisch ";"aantal";"15";"40";"70";"75";"15";"15";"15";"15";"15";"10";"20";"50";"20"
"Nareizigers (personen)";"Marokkaans ";"aantal";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0"
"Nareizigers (personen)";"Nigeriaans ";"aantal";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"10";"0";"5"
"Nareizigers (personen)";"Oekraïens ";"aantal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nareizigers (personen)";"Pakistaans ";"aantal";"10";"5";"20";"5";"5";"20";"20";"5";"15";"5";"5";"5";"0"
"Nareizigers (personen)";"Russisch ";"aantal";"0";"0";"0";"0";"5";"0";"0";"5";"0";"5";"0";"0";"0"
"Nareizigers (personen)";"Soedanees ";"aantal";"5";"5";"0";"0";"0";"5";"0";"5";"0";"0";"0";"0";"0"
"Nareizigers (personen)";"Somalisch ";"aantal";"0";"5";"20";"15";"0";"10";"10";"10";"20";"10";"0";"15";"0"
"Nareizigers (personen)";"Syrisch ";"aantal";"610";"640";"995";"1060";"770";"650";"345";"200";"215";"175";"280";"630";"575"
"Nareizigers (personen)";"Tunesisch ";"aantal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nareizigers (personen)";"Turks ";"aantal";"45";"75";"135";"290";"115";"80";"85";"50";"80";"60";"75";"125";"105"
"Nareizigers (personen)";"Wit-Russisch ";"aantal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nareizigers (personen)";"Onbekend";"aantal";"10";"10";"10";"15";"5";"10";"5";"10";"10";"5";"5";"15";"5"
"Nareizigers (personen)";"Staatloos";"aantal";"45";"25";"25";"20";"20";"25";"40";"10";"25";"10";"15";"30";"10"
"Bron: CBS"
